"物料需求已提交。是否立即创建物料移动并发料？","La solicitud de material fue enviada. ¿Desea crear una entrada de stock y emitir materiales ahora?"
"Injection Molding Issuance","Emisión para moldeo por inyección"
"只有其他出库、工单发料、注塑发料可以推送至 DLM","Solo Otros egresos, Emisión para orden de trabajo y Emisión para moldeo por inyección pueden enviarse a DLM"
"是否立即推送至DLM？","¿Desea enviar a DLM ahora?"
"物料移动已提交。是否立即推送发料结果至 DLM？","La entrada de stock fue enviada. ¿Desea enviar ahora el resultado de emisión a DLM?"
"Material Issue","Emisión de materiales"
"确认保存、提交并推送此物料移动至 DLM？","¿Confirmar guardar, enviar y transferir esta entrada de stock a DLM?"
"提交并发料","Enviar y emitir materiales"
"确认提交此物料需求并立即发料？","¿Confirmar el envío de esta solicitud de material y emitir materiales ahora?"
"物料移动已提交，但尚未获取正式单号。请刷新后再推送至 DLM。","La entrada de stock fue enviada, pero aún no se obtuvo el número definitivo. Actualice y vuelva a enviar a DLM."
"请先保存物料移动并获取正式单号后再推送至 DLM。","Guarde primero la entrada de stock y obtenga el número definitivo antes de enviar a DLM."
"销售出库草稿已创建","Se creó el borrador de nota de entrega"
"销售出库明细不能为空","Las líneas de salida de venta no pueden estar vacías"
"销售订单 {0} 状态为 {1}，不允许创建出库草稿","El pedido de venta {0} tiene estado {1}; no se permite crear el borrador de salida"
"第 {0} 行缺少物料编码 item_code","La línea {0} no tiene código de artículo item_code"
"第 {0} 行出库数量必须大于 0","La cantidad de salida de la línea {0} debe ser mayor que 0"
"物料 {0} 不在销售订单 {1} 的明细中","El artículo {0} no está en las líneas del pedido de venta {1}"
"物料 {0} 出库数量 {1} 超过剩余可出库数量 {2}","La cantidad de salida {1} del artículo {0} supera la cantidad restante disponible {2}"
"未找到仓库 {0}","No se encontró el almacén {0}"
"仓库 {0} 不可用于出库","El almacén {0} no se puede usar para salida"
"仓库 {0} 不属于公司 {1}","El almacén {0} no pertenece a la empresa {1}"
"物料 {0} 缺少出库仓库","El artículo {0} no tiene almacén de salida"
"MES Delivery Note Draft Create","Creación de borrador de nota de entrega desde MES"
"Document Submitted","Documento enviado"
"Document Created","Documento creado"
"Stock Entry Issue Confirm","Confirmación de emisión de materiales desde entrada de stock"
"Batch No","N.º de lote"
"Material Request Created","Solicitud de entrega de materiales"
"Ready to Deliver","Listo para entregar"
"Pending Release","Pendiente de liberación para entrega"
"发货放行状态","Estado de liberación para entrega"
"销售出库关联的销售订单尚未全部放行发货，不能提交。","Los pedidos de venta vinculados a esta nota de entrega aún no están todos liberados para entrega; no se puede enviar."
"Delivered","Entregado"
"缺少 Material Request 数据或数据格式不正确","Faltan los datos de Material Request o el formato es incorrecto"
"物料需求已创建并提交。","La solicitud de materiales se creó y se envió."
"只能通过此接口创建 Material Request","Esta API solo puede crear Material Request"
"MES 传入的物料需求必须是草稿状态","La solicitud de materiales enviada por MES debe estar en estado borrador"
"缺少物料需求类型 material_request_type","Falta el tipo de solicitud de materiales: material_request_type"
"缺少物料需求公司","Falta la empresa de la solicitud de materiales"
"物料需求至少需要一行明细","La solicitud de materiales requiere al menos una línea"
"发料并推送至DLM","Emitir y enviar a DLM"
"请确认本次发料数量和发料仓，确认后将自动创建并提交物料移动，然后推送至 DLM。","Confirme la cantidad a emitir y el almacén de salida. Al confirmar, se creará y enviará automáticamente la entrada de stock y luego se enviará a DLM."
"本次发料数量","Cantidad a emitir"
"剩余数量","Cantidad restante"
"已发料数量","Cantidad emitida"
"发料仓","Almacén de salida"
"确认发料并推送至 DLM？","¿Confirmar la emisión y el envío a DLM?"
"正在创建物料移动并推送至 DLM，请稍候...","Creando la entrada de stock y enviando a DLM, espere..."
"没有可发料的明细","No hay líneas disponibles para emitir"
"第 {0} 行本次发料数量不能超过剩余数量","La cantidad a emitir en la línea {0} no puede superar la cantidad restante"
"第 {0} 行缺少发料仓","La línea {0} no tiene almacén de salida"
"发料或推送过程中发生错误，请查看错误日志或联系管理员。","Ocurrió un error durante la emisión o el envío. Revise el registro de errores o contacte al administrador."
"物料移动 {0} 已创建并提交，但推送至 DLM 失败，请手动推送。","La entrada de stock {0} fue creada y enviada, pero falló el envío a DLM. Envíela manualmente."
"物料移动 {0} 已创建、提交并推送至 DLM。","La entrada de stock {0} fue creada, enviada y transferida a DLM."
"物料需求必须已提交","La solicitud de materiales debe estar enviada"
"已停止或已取消的物料需求不能发料","No se puede emitir materiales desde una solicitud detenida o cancelada"
"只有物料发料、工单发料、注塑发料可以发料并推送至 DLM","Solo Emisión de materiales, Emisión para fabricación y Emisión para moldeo por inyección pueden emitirse y enviarse a DLM"
"缺少发料明细或发料明细格式不正确","Faltan las líneas de emisión o el formato es incorrecto"
"第 {0} 行物料需求明细不存在或不属于当前物料需求","La línea {0} de la solicitud de materiales no existe o no pertenece a esta solicitud"
"第 {0} 行物料编码与物料需求明细不一致","El código de artículo de la línea {0} no coincide con la línea de la solicitud"
"第 {0} 行本次发料数量必须大于 0","La cantidad a emitir en la línea {0} debe ser mayor que 0"
"第 {0} 行本次发料数量 {1} 超过剩余数量 {2}","La cantidad a emitir {1} en la línea {0} supera la cantidad restante {2}"
"需求数量","Cantidad requerida"
"实际数量","Cantidad real"
"预计剩余数量","Cantidad restante estimada"
"物料需求明细 {0} 在本次发料中重复","La línea de solicitud de materiales {0} está duplicada en esta emisión"
"第 {0} 行物料 {1} 发料数量 {2} 超过仓库 {3} 实际数量 {4}","La cantidad a emitir {2} del artículo {1} en la línea {0} supera la cantidad real {4} del almacén {3}"
