"移动作业","Operaciones móviles"
"账户与系统功能","Funciones de cuenta y sistema"
"使用标准电脑端","Usar el sitio de escritorio estándar"
"低频功能和系统设置将逐步在这里接入","Las funciones menos frecuentes y la configuración del sistema se añadirán aquí gradualmente"
"库存查询页面将在这里接入物料、仓库和实时库存筛选。","La página de consulta permitirá filtrar aquí por artículo, almacén y stock en tiempo real."
"库存查询","Consulta de inventario"
"快捷操作","Acciones rápidas"
"查看待处理需求","Ver solicitudes pendientes"
"按物料或仓库查询","Consultar por artículo o almacén"
"物料移动","Movimiento de inventario"
"登记现场物料移动","Registrar movimiento de inventario en planta"
"库存转移和发料单据","Documentos de traslado y salida de inventario"
"物料移动单","Documentos de movimiento de inventario"
"搜索单号、物料或仓库","Buscar número, artículo o almacén"
"已提交","Enviado"
"已取消","Cancelado"
"已推送","Enviado a DLM"
"待推送","Pendiente de envío"
"全部","Todos"
"当前筛选条件下没有物料移动","No hay movimientos con los filtros actuales"
"物料移动加载失败，请点击右上角重试","No se pudieron cargar los movimientos. Pulse actualizar arriba a la derecha"
"未找到物料移动","No se encontró el movimiento de inventario"
"单据编号","Número de documento"
"记账日期","Fecha contable"
"关联物料需求","Solicitud de materiales vinculada"
"提交物料移动","Enviar movimiento de inventario"
"当前账号没有提交物料移动的权限","Esta cuenta no tiene permiso para enviar movimientos"
"当前用户没有物料移动读取权限","El usuario actual no tiene permiso de lectura de movimientos"
"缺少物料移动编号","Falta el número del movimiento de inventario"
"只有草稿状态的物料移动可以提交","Solo se pueden enviar movimientos en borrador"
"推送至DLM","Enviar a DLM"
"手动创建的物料移动无需推送至DLM","Los movimientos creados manualmente no necesitan enviarse a DLM"
"该物料移动已推送至DLM","Este movimiento ya se envió a DLM"
"当前账号没有可执行的操作","Esta cuenta no tiene acciones disponibles"
"正在提交物料移动...","Enviando movimiento de inventario..."
"物料移动已提交","Movimiento de inventario enviado"
"正在推送至 DLM，请稍候...","Enviando a DLM. Espere..."
"物料移动已推送至 DLM","Movimiento de inventario enviado a DLM"
"生产作业","Operaciones de producción"
"查看生产现场任务","Ver tareas de producción en planta"
"库存移动端页面将在这里接入，先保留手机端导航，不再跳转到 PC 列表。","La página móvil de inventario se integrará aquí. La navegación móvil se mantiene y ya no redirige a la lista de PC."
"物料移动页面将在这里接入扫码、数量和仓库选择。","La página de movimientos se integrará aquí con escaneo, cantidades y selección de almacenes."
"生产现场页面将在这里接入领料、报工和异常处理。","La página de planta se integrará aquí con emisión de materiales, reportes y gestión de incidencias."
"新建物料需求","Nueva solicitud de materiales"
"新建需求","Nueva solicitud"
"新建需求页面将在这里接入按物料、数量、仓库的快速录入。","La página de nuevas solicitudes permitirá introducir rápidamente artículos, cantidades y almacenes."
"页面正在规划中。","Esta página está en planificación."
"电脑端处理","Procesar en el ordenador"
"库存与生产移动作业","Operaciones móviles de inventario y producción"
"库存与生产移动作业预览","Vista previa de operaciones móviles de inventario y producción"
"新建","Nuevo"
"状态筛选","Filtro de estado"
"全部状态","Todos los estados"
"进行中","En curso"
"待发料","Pendiente de emisión"
"部分完成","Completado parcialmente"
"调拨在途","Traslado en tránsito"
"异常/停止","Excepción/Detenido"
"加载失败，请点击右上角重试","No se pudo cargar. Pulse actualizar en la esquina superior derecha para volver a intentarlo"
"共 {0} 条，已加载 {1} 条","{0} en total, {1} cargadas"
"{0} 条","{0} registros"
"无记录","Sin registros"
"加载更多","Cargar más"
"当前筛选条件下没有物料需求","No hay solicitudes de materiales con los filtros actuales"
"暂无明细","Sin detalles"
"处理进度","Progreso de procesamiento"
"未设置仓库","Almacén no configurado"
"查看","Ver"
"正在加载物料需求...","Cargando la solicitud de materiales..."
"物料需求加载失败","No se pudo cargar la solicitud de materiales"
"未找到物料需求","No se encontró la solicitud de materiales"
"剩余","Restante"
"需求","Solicitado"
"已发料","Emitido"
"仓库","Almacén"
"要求日期","Fecha requerida"
"发料仓库","Almacén de salida"
"目标仓库","Almacén destino"
"来源仓库","Almacén origen"
"提交物料需求","Enviar solicitud de materiales"
"当前账号没有提交权限","Esta cuenta no tiene permiso de envío"
"发料并推送至DLM","Emitir y enviar a DLM"
"生成物料移动","Crear movimiento de inventario"
"当前需求不能生成物料移动","Esta solicitud no puede crear un movimiento de inventario"
"返回","Volver"
"需求标题","Título de la solicitud"
"物料行数","Líneas de artículos"
"行","líneas"
"物料明细","Detalles de artículos"
"暂无物料明细","No hay detalles de artículos"
"返回列表","Volver a la lista"
"正在提交...","Enviando..."
"提交失败，请检查必填信息和权限","No se pudo enviar. Compruebe los campos obligatorios y los permisos"
"正在加载发料明细...","Cargando detalles de emisión..."
"正在加载物料移动明细...","Cargando detalles del movimiento..."
"发料明细加载失败，请检查库存权限","No se pudieron cargar los detalles de emisión. Compruebe los permisos de inventario"
"没有可发料的明细","No hay artículos que emitir"
"本次发料数量","Cantidad a emitir"
"没有可选仓库","No hay almacenes disponibles"
"当前库存","Stock actual"
"请确认数量和发料仓库","Confirme la cantidad y el almacén de salida"
"请确认数量和发料仓库，生成后可继续提交物料移动","Confirme la cantidad y el almacén de salida. Después de crearlo podrá enviar el movimiento."
"确认发料并推送","Confirmar emisión y envío"
"关闭","Cerrar"
"取消","Cancelar"
"发料数量不能超过剩余数量","La cantidad a emitir no puede superar la cantidad restante"
"库存不足，可用库存为","Stock insuficiente. Cantidad disponible:"
"正在创建物料移动并推送至 DLM，请稍候...","Creando el movimiento y enviándolo a DLM. Espere..."
"正在生成物料移动，请稍候...","Creando el movimiento de inventario. Espere..."
"发料或推送失败，请检查库存、权限和 DLM 配置","Falló la emisión o el envío. Compruebe el inventario, los permisos y la configuración de DLM"
"物料移动生成失败，请检查库存、权限和仓库设置","No se pudo crear el movimiento. Compruebe el inventario, los permisos y la configuración del almacén"
"发料并推送完成","Emisión y envío completados"
"物料移动草稿已生成","Borrador del movimiento creado"
"现场快速创建物料需求","Crear rápidamente una solicitud de materiales en planta"
"基本信息","Información básica"
"需求类型","Tipo de solicitud"
"公司","Empresa"
"需求日期","Fecha de solicitud"
"仓库名称","Nombre del almacén"
"库位号","Código de ubicación"
"输入库位号，如 P17R02T","Introduzca un código de ubicación, por ejemplo P17R02T"
"添加物料","Añadir artículo"
"保存草稿","Guardar borrador"
"保存并提交","Guardar y enviar"
"基础信息加载失败，请刷新后重试","No se pudo cargar la información básica. Actualice e inténtelo de nuevo"
"物料发料","Emisión de materiales"
"物料收料","Recepción de materiales"
"物料调拨","Traslado de materiales"
"采购需求","Solicitud de compra"
"生产需求","Solicitud de producción"
"请选择需求类型","Seleccione un tipo de solicitud"
"请选择公司","Seleccione una empresa"
"请选择来源仓库","Seleccione el almacén origen"
"请选择发料仓库","Seleccione el almacén de salida"
"请选择目标仓库","Seleccione el almacén destino"
"全部仓库名称","Todos los nombres de almacén"
"没有匹配的仓库","No hay almacenes coincidentes"
"物料","Artículo"
"删除物料","Eliminar artículo"
"搜索物料编码或名称","Buscar código o nombre del artículo"
"搜索编号、物料或需求标题","Buscar número, artículo o título de solicitud"
"数量","Cantidad"
"单位待自动带出","La unidad se completará automáticamente"
"项","artículos"
"没有找到匹配物料","No se encontraron artículos coincidentes"
"请选择需求日期","Seleccione una fecha de solicitud"
"请为每项物料选择数量","Introduzca una cantidad para cada artículo"
"正在保存...","Guardando..."
"保存失败，请检查必填信息和权限","No se pudo guardar. Compruebe los campos obligatorios y los permisos"
"物料需求已提交","Solicitud de materiales enviada"
"物料需求草稿已保存","Borrador de solicitud guardado"
"生产领料","Emisión para producción"
"委外需求","Solicitud de subcontratación"
"客户提供","Suministrado por el cliente"
"注塑发料","Emisión para moldeo por inyección"
"生产入库","Recepción de producción"
"物料重包装","Reembalaje de materiales"
"发送给委外商","Enviar al subcontratista"
"MES","MES"
"手动创建","Manual"
"等 {0} 项","{0} artículos más"
"已停止/已取消","Detenido/Cancelado"
"已完成","Completado"
"草稿","Borrador"
"处理中","En procesamiento"
"当前用户没有创建物料需求的权限","El usuario actual no tiene permiso para crear solicitudes de materiales"
"当前用户没有提交物料需求的权限","El usuario actual no tiene permiso para enviar solicitudes de materiales"
"物料需求数据格式不正确","El formato de la solicitud de materiales no es válido"
"物料需求类型不正确","El tipo de solicitud de materiales no es válido"
"请至少添加一项物料","Añada al menos un artículo"
"第 {0} 行物料和数量不能为空","El artículo y la cantidad de la línea {0} no pueden estar vacíos"
"物料 {0} 已停用","El artículo {0} está desactivado"
"缺少物料需求编号","Falta el número de solicitud de materiales"
"只有草稿状态的物料需求可以提交","Solo se pueden enviar solicitudes de materiales en borrador"
"物料需求必须已提交","La solicitud de materiales debe estar enviada"
"已停止或已取消的物料需求不能发料","No se pueden emitir solicitudes detenidas o canceladas"
"当前物料需求类型不支持生成物料移动","Este tipo de solicitud no permite crear movimientos de inventario"
"当前用户缺少库存读取权限","El usuario actual no tiene permiso de lectura de inventario"
"当前用户没有物料需求读取权限","El usuario actual no tiene permiso de lectura de solicitudes de materiales"
"请先提交物料需求后再生成物料移动","Envíe la solicitud antes de crear un movimiento de inventario"
"当前物料需求已停止或取消，无法生成物料移动","Esta solicitud está detenida o cancelada y no puede crear un movimiento"
"采购需求不能生成物料移动，请在采购模块处理","Las solicitudes de compra no crean movimientos de inventario. Procéselas en el módulo de Compras"
"当前需求类型不支持手机端生成物料移动","Este tipo de solicitud no permite crear movimientos desde el móvil"
"当前账号没有创建物料移动的权限","Esta cuenta no tiene permiso para crear movimientos de inventario"
"该物料需求已全部处理，无法生成新的物料移动","Esta solicitud está completamente procesada y no puede crear otro movimiento"
"当前物料需求暂时不能生成物料移动","Esta solicitud no puede crear un movimiento en este momento"
"按物料和库位快速查询","Buscar rápidamente el inventario por artículo y ubicación"
"请输入物料编码或名称","Introduzca el código o nombre del artículo"
"全部公司","Todas las empresas"
"库存状态","Estado del inventario"
"全部库存","Todo el inventario"
"有库存","Con existencias"
"库存不足","Existencias insuficientes"
"负库存","Existencias negativas"
"库存为零","Existencias cero"
"如 INVENTARIO SEMITERMINADO","p. ej. INVENTARIO SEMITERMINADO"
"如 A-01","p. ej. A-01"
"清空","Limpiar"
"查询","Buscar"
"查询结果","Resultados de búsqueda"
"请输入物料、仓库名称或库位号后查询","Introduzca un artículo, nombre de almacén o ubicación para buscar"
"库存查询加载失败，请点击查询重试","No se pudo cargar el inventario. Pulse Buscar para reintentar"
"当前筛选条件下没有库存记录","No hay registros de inventario con los filtros actuales"
"实际库存","Existencias reales"
"可用库存","Existencias disponibles"
"已预留","Reservado"
"预计库存","Existencias proyectadas"
"当前用户没有库存读取权限","El usuario actual no tiene permiso para leer el inventario"
