"移动作业","Mobile Operations"
"当前账号没有提交物料移动的权限","This account does not have permission to submit stock movements"
"当前用户没有物料移动读取权限","This user does not have permission to read stock movements"
"缺少物料移动编号","Stock movement number is missing"
"只有草稿状态的物料移动可以提交","Only draft stock movements can be submitted"
"推送至DLM","Push to DLM"
"手动创建的物料移动无需推送至DLM","Manually created stock movements do not need to be pushed to DLM"
"该物料移动已推送至DLM","This stock movement has already been pushed to DLM"
"当前账号没有可执行的操作","There are no actions available for this account"
"正在提交物料移动...","Submitting stock movement..."
"物料移动已提交","Stock movement submitted"
"正在推送至 DLM，请稍候...","Pushing to DLM. Please wait..."
"物料移动已推送至 DLM","Stock movement pushed to DLM"
"生产作业","Production Operations"
"查看生产现场任务","View on-site production tasks"
"库存移动端页面将在这里接入，先保留手机端导航，不再跳转到 PC 列表。","The mobile inventory page will be connected here. Mobile navigation is kept in place and no longer redirects to the PC list."
"物料移动页面将在这里接入扫码、数量和仓库选择。","The stock movement page will be connected here with scanning, quantity, and warehouse selection."
"生产现场页面将在这里接入领料、报工和异常处理。","The production floor page will be connected here with material issue, reporting, and exception handling."
"新建物料需求","New Material Request"
"新建需求","New Request"
"新建需求页面将在这里接入按物料、数量、仓库的快速录入。","The new request page will provide quick entry by item, quantity, and warehouse."
"页面正在规划中。","This page is under development."
"电脑端处理","Process on desktop"
"库存与生产移动作业","Mobile inventory and production operations"
"库存与生产移动作业预览","Mobile inventory and production operations preview"
"新建","New"
"状态筛选","Status filter"
"全部状态","All statuses"
"进行中","In progress"
"待发料","Pending issue"
"部分完成","Partially complete"
"调拨在途","Transfer in transit"
"异常/停止","Exception/Stopped"
"加载失败，请点击右上角重试","Loading failed. Click the refresh button in the upper-right corner to try again"
"共 {0} 条，已加载 {1} 条","{0} total, {1} loaded"
"{0} 条","{0} items"
"无记录","No records"
"加载更多","Load more"
"当前筛选条件下没有物料需求","No material requests match the current filters"
"暂无明细","No details"
"处理进度","Processing progress"
"未设置仓库","Warehouse not set"
"查看","View"
"正在加载物料需求...","Loading material request..."
"物料需求加载失败","Failed to load the material request"
"未找到物料需求","Material request not found"
"剩余","Remaining"
"需求","Requested"
"已发料","Issued"
"仓库","Warehouse"
"要求日期","Required date"
"发料仓库","Issue warehouse"
"目标仓库","Target warehouse"
"来源仓库","Source warehouse"
"提交物料需求","Submit material request"
"当前账号没有提交权限","This account does not have submit permission"
"发料并推送至DLM","Issue and push to DLM"
"生成物料移动","Create stock movement"
"当前需求不能生成物料移动","This request cannot create a stock movement"
"返回","Back"
"需求标题","Request title"
"物料行数","Item lines"
"行","lines"
"物料明细","Item details"
"暂无物料明细","No item details"
"返回列表","Back to list"
"正在提交...","Submitting..."
"提交失败，请检查必填信息和权限","Submission failed. Check required fields and permissions"
"正在加载发料明细...","Loading issue details..."
"正在加载物料移动明细...","Loading stock movement details..."
"发料明细加载失败，请检查库存权限","Failed to load issue details. Check inventory permissions"
"没有可发料的明细","There are no issuable items"
"本次发料数量","Issue quantity"
"没有可选仓库","No warehouses available"
"当前库存","Current stock"
"请确认数量和发料仓库","Confirm the quantity and issue warehouse"
"请确认数量和发料仓库，生成后可继续提交物料移动","Confirm the quantity and issue warehouse. You can submit the stock movement after it is created."
"确认发料并推送","Confirm issue and push"
"关闭","Close"
"取消","Cancel"
"发料数量不能超过剩余数量","The issue quantity cannot exceed the remaining quantity"
"库存不足，可用库存为","Insufficient stock. Available quantity:"
"正在创建物料移动并推送至 DLM，请稍候...","Creating the stock movement and pushing it to DLM. Please wait..."
"正在生成物料移动，请稍候...","Creating the stock movement. Please wait..."
"发料或推送失败，请检查库存、权限和 DLM 配置","Issue or push failed. Check inventory, permissions, and DLM configuration"
"物料移动生成失败，请检查库存、权限和仓库设置","Failed to create the stock movement. Check inventory, permissions, and warehouse settings"
"发料并推送完成","Issue and push completed"
"物料移动草稿已生成","Stock movement draft created"
"新建物料移动","New Stock Movement"
"现场快速创建物料移动","Quickly create a stock movement on site"
"移动类型","Movement Type"
"请选择移动类型","Select a movement type"
"请选择记账日期","Select a posting date"
"来源仓库和目标仓库不能相同","Source and target warehouses cannot be the same"
"物料移动数据格式不正确","The stock movement data is invalid"
"物料移动类型不正确","The stock movement type is invalid"
"公司不存在","The company does not exist"
"物料移动类型与单据类型不匹配","The movement type does not match the stock entry type"
"没有可用的物料移动单据类型","No stock entry type is available"
"{0}必须是启用的明细仓库","{0} must be an enabled leaf warehouse"
"{0}必须属于所选公司","{0} must belong to the selected company"
"第 {0} 行物料数据不正确","The item data on row {0} is invalid"
"物料移动选项加载失败，请稍后重试","Failed to load stock movement options. Try again later"
"物料移动保存失败，请检查必填信息和权限","Failed to save the stock movement. Check required fields and permissions"
"现场快速创建物料需求","Quickly create a material request on site"
"基本信息","Basic Information"
"需求类型","Request Type"
"公司","Company"
"需求日期","Request Date"
"仓库名称","Warehouse Name"
"库位号","Location Code"
"输入库位号，如 P17R02T","Enter a location code, e.g. P17R02T"
"添加物料","Add Item"
"保存草稿","Save Draft"
"保存并提交","Save and Submit"
"基础信息加载失败，请刷新后重试","Failed to load basic information. Refresh and try again"
"物料发料","Material Issue"
"物料收料","Material Receipt"
"物料调拨","Material Transfer"
"采购需求","Purchase Request"
"生产需求","Production Request"
"请选择需求类型","Select a request type"
"请选择公司","Select a company"
"请选择来源仓库","Select a source warehouse"
"请选择来源或目标仓库","Select a source or target warehouse"
"请选择发料仓库","Select an issue warehouse"
"请选择目标仓库","Select a target warehouse"
"全部仓库名称","All warehouse names"
"没有匹配的仓库","No matching warehouses"
"物料","Item"
"删除物料","Remove item"
"搜索物料编码或名称","Search item code or name"
"搜索编号、物料或需求标题","Search number, item, or request title"
"数量","Quantity"
"单位待自动带出","Unit will be filled automatically"
"项","items"
"没有找到匹配物料","No matching items found"
"请选择需求日期","Select a request date"
"请为每项物料选择数量","Enter a quantity for each item"
"正在保存...","Saving..."
"保存失败，请检查必填信息和权限","Save failed. Check required fields and permissions"
"物料需求已提交","Material request submitted"
"物料需求草稿已保存","Material request draft saved"
"生产领料","Production Material Issue"
"委外需求","Subcontracting Request"
"客户提供","Customer Provided"
"注塑发料","Injection Molding Issue"
"生产入库","Production Receipt"
"物料重包装","Repack Materials"
"发送给委外商","Send to Subcontractor"
"生产耗用","Material Consumption for Manufacture"
"拆解","Disassemble"
"客户收料","Receive from Customer"
"退回客户原料","Return Raw Material to Customer"
"委外发料","Subcontracting Delivery"
"委外退料","Subcontracting Return"
"半成品入库","Semi Finished Goods Receipt"
"成品入库","Finished Goods Receipt"
"MES","MES"
"手动创建","Manual"
"等 {0} 项","{0} more items"
"已停止/已取消","Stopped/Cancelled"
"已完成","Completed"
"草稿","Draft"
"处理中","Processing"
"当前用户没有创建物料需求的权限","This user does not have permission to create material requests"
"当前用户没有提交物料需求的权限","This user does not have permission to submit material requests"
"物料需求数据格式不正确","The material request data format is invalid"
"物料需求类型不正确","The material request type is invalid"
"请至少添加一项物料","Add at least one item"
"第 {0} 行物料和数量不能为空","Item and quantity cannot be empty on row {0}"
"物料 {0} 已停用","Item {0} is disabled"
"缺少物料需求编号","Material request number is missing"
"只有草稿状态的物料需求可以提交","Only draft material requests can be submitted"
"物料需求必须已提交","The material request must be submitted"
"已停止或已取消的物料需求不能发料","Stopped or cancelled material requests cannot be issued"
"当前物料需求类型不支持生成物料移动","This material request type does not support creating a stock movement"
"当前用户缺少库存读取权限","This user does not have inventory read permission"
"当前用户没有物料需求读取权限","This user does not have material request read permission"
"请先提交物料需求后再生成物料移动","Submit the material request before creating a stock movement"
"当前物料需求已停止或取消，无法生成物料移动","This material request is stopped or cancelled and cannot create a stock movement"
"采购需求不能生成物料移动，请在采购模块处理","Purchase requests cannot create stock movements. Process them in the Purchasing module"
"当前需求类型不支持手机端生成物料移动","This request type does not support creating a stock movement on mobile"
"当前账号没有创建物料移动的权限","This account does not have permission to create stock movements"
"该物料需求已全部处理，无法生成新的物料移动","This material request is fully processed and cannot create another stock movement"
"当前物料需求暂时不能生成物料移动","This material request cannot create a stock movement at this time"
"按物料和库位快速查询","Quickly search stock by item and location"
"请输入物料编码或名称","Enter item code or name"
"全部公司","All companies"
"库存状态","Stock status"
"全部库存","All stock"
"有库存","In stock"
"库存不足","Insufficient stock"
"负库存","Negative stock"
"库存为零","Zero stock"
"如 INVENTARIO SEMITERMINADO","e.g. INVENTARIO SEMITERMINADO"
"如 A-01","e.g. A-01"
"清空","Clear"
"查询","Search"
"查询结果","Search results"
"请输入物料、仓库名称或库位号后查询","Enter an item, warehouse name, or location code to search"
"库存查询加载失败，请点击查询重试","Inventory search failed. Click Search to try again"
"当前筛选条件下没有库存记录","No inventory records match the current filters"
"实际库存","Actual stock"
"可用库存","Available stock"
"已预留","Reserved"
"预计库存","Projected stock"
"当前用户没有库存读取权限","This user does not have permission to read inventory"
"BOM 列表","BOM list"
"BOM 已被修改，请刷新后重新编辑","This BOM has changed. Refresh before editing again"
"BOM 数据格式不正确","Invalid BOM data"
"BOM 物料清单","Bill of materials"
"BOM 组件行无效，请刷新后重试","Invalid BOM component row. Refresh and try again"
"分钟","min"
"删除组件","Remove component"
"副产品","Secondary items"
"单位","Unit"
"只有草稿 BOM 可以提交","Only draft BOMs can be submitted"
"只有草稿 BOM 可以编辑","Only draft BOMs can be edited"
"基准数量","Base quantity"
"基准用量","Base consumption"
"子 BOM","Sub-BOM"
"展开物料","Exploded materials"
"工序","Operations"
"已停用","Inactive"
"已启用","Active"
"当前账号没有 BOM 读取权限","This account cannot read BOMs"
"当前账号没有创建 BOM 的权限","This account cannot create BOMs"
"成品不能作为自身组件","The finished item cannot be its own component"
"成品数量和组件用量必须大于零","Output and component quantities must be greater than zero"
"成品物料","Finished item"
"按 BOM 基准数量等比例换算，仅用于查看用量。","Quantities are scaled from the BOM base quantity for reference."
"损耗率","Scrap rate"
"损耗率必须在 0 到 100 之间","Scrap rate must be between 0 and 100"
"提交 BOM","Submit BOM"
"搜索 BOM、成品编码、名称或规格","Search BOM, finished item code, name or specification"
"操作失败，请检查权限或稍后重试","Operation failed. Check permissions or try again later"
"新建 BOM","New BOM"
"查看成品配方与组件用量","View finished item recipes and component quantities"
"查询、创建和维护 BOM","Find, create and maintain BOMs"
"正在加载 BOM...","Loading BOM..."
"正在搜索物料...","Searching items..."
"没有符合条件的 BOM","No matching BOMs"
"添加组件","Add component"
"状态","Status"
"生产数量","Production quantity"
"直接组件","Direct components"
"组件","Components"
"组件明细","Component details"
"组件物料","Component item"
"组件用量","Component quantity"
"编辑 BOM","Edit BOM"
"编辑草稿","Edit draft"
"缺少 BOM 编号","BOM number is required"
"规格","Specification"
"请为每项组件选择物料并填写有效用量","Select an item and enter a valid quantity for every component"
"请至少添加一项组件","Add at least one component"
"请输入大于零的生产数量","Enter a production quantity greater than zero"
"请选择公司和成品物料","Select a company and finished item"
"请选择有效的组件物料","Select a valid component item"
"重试","Retry"
"默认","Default"
"默认 BOM","Default BOM"
